Meal,Servings,Calories,Protein,Fat,Carbs,RecipeName,Cuisine,ProteinSource,Notes,URL
Breakfast,4,346,12,13,44,Greek Yogurt Pancakes ,American,Greek yogurt,,https://www.lecremedelacrumb.com/greek-yogurt-pancakes
Breakfast,4,416,25,24,27,"Jalapeno, Pepper Jack, and Turkey Bacon Quiche",Mexican,Turkey bacon,Not spicy at all.,https://www.ambitiouskitchen.com/jalapeno-pepper-jack-turkey-bacon-quiche-potato-crust/
Breakfast,4,330,5,9,59,No Sugar Added Apple Pie Overnight Oats,American,None,,https://www.budgetbytes.com/2016/06/no-sugar-added-apple-pie-overnight-oats/
Breakfast,4,233,19,14,7,"Spinach, Mushroom, and Feta Crustless Quiche",Mediterranean,Eggs,,http://www.budgetbytes.com/2011/11/spinach-mushroom-feta-crustless-quiche/
Entrée,4,269,18,4,38,"Bacon, Onion, and Brown Lentil Skillet",Mediterranean,Bacon,,http://www.myrecipes.com/recipe/bacon-onion-brown-lentil-skillet
Entrée,4,128,9,5,13,Baked Eggplant Parmesan Stacks,Italian,Cheese,,http://www.homesweetjones.com/baked-eggplant-parmesan-stacks/
Entrée,4,303,32,12,34,Baked Shrimp Taquitos,Mexican,Shrimp,,http://www.skinnytaste.com/baked-shrimp-taquitos/
Entrée,4,421,27,28,22,Beef Burgers with Jerk Onions and Cucumber Avocado Salad,American,Ground beef,,http://eatdrinkpaleo.com.au/beef-burgers-with-jerk-onions-cucumber-avocado-salad/
Entrée,4,313,16,9,43,Black Bean Burger,American,Beans,needs a condiment,http://thepioneerwoman.com/cooking/black-bean-burger/
Entrée,4,316,7,17,34,Black Bean Fiesta Mason Jar Salad,Mexican,Beans,,https://www.eatingbirdfood.com/fiesta-mason-jar-salad/
Entrée,4,357,29,44,4,BLTA Pesto Chicken Salad,American,Chicken breast,,http://peaceloveandlowcarb.com/blta-pesto-chicken-salad-low-carb-gluten-free-paleo/
Entrée,4,359,15,14,42,Blue Cheese Polenta with Vegetables,American,Cheese,,http://www.myrecipes.com/recipe/blue-cheese-polenta-vegetables
Entrée,4,464,45,21,22,California Grilled Chicken,American,Chicken breast,Don't burn the chicken or it will be bad,https://www.delish.com/cooking/recipe-ideas/recipes/a53158/california-grilled-chicken-recipe/
Entrée,4,185,15,9,12,Cheese & Spinach Stuffed Portobellos,Italian,Cheese,Delicious!!!,http://www.eatingwell.com/recipes/cheese_spinach_stuffed_portobellos.html
Entrée,4,220,30,6,10,Chicken & Mushrooms in a Garlic White Wine Sauce,Italian,Chicken breast,,http://www.skinnytaste.com/chicken-and-mushrooms-in-garlic-white/
Entrée,4,429,31,11,51,Chicken Alfredo with Broccoli,Italian,Chicken breast,,https://gimmedelicious.com/2017/04/04/skinny-chicken-broccoli-alfredo/
